Stock,Country,Gear Type,2007,S_2007,2008,S_2008,2009,S_2009
Bigeye tuna Global,Sri Lanka,Gear not known,372,,256,,346,
Bigeye tuna Global,Sri Lanka,Longlines (nei),54,,0,-,0,-
Bigeye tuna Global,Taiwan Province of China,Longlines (nei),69078,,51846,,60151,
Bigeye tuna Global,Thailand,Longlines (nei),139,,70,,152,
Bigeye tuna Global,Thailand,Purse seines,1724,,2298,,2310,
Bigeye tuna Global,France,Gear not known,243,,0,-,0,-
Bigeye tuna Global,France,Longlines (nei),712,,503,,351,
Bigeye tuna Global,France,Mechanized lines and pole-and-lines,1130,,141,,269,
Bigeye tuna Global,France,Purse seines,7148,,8598,,9033,
Bigeye tuna Global,Portugal,Gear not known,0,-,64,,0,-
Bigeye tuna Global,Portugal,Longlines (nei),659,,606,,468,
Bigeye tuna Global,Portugal,Mechanized lines and pole-and-lines,4871,,2738,,5121,
Bigeye tuna Global,Russian Federation,Purse seines,26,,73,,86,
Bigeye tuna Global,Spain,Gear not known,0,-,3,,16,
Bigeye tuna Global,Spain,Longlines (nei),510,,483,,442,
Bigeye tuna Global,Spain,Mechanized lines and pole-and-lines,3008,,1956,,3854,
Bigeye tuna Global,Spain,Purse seines,13777,,18990,,22187,
Bigeye tuna Global,Spain,Trolling lines,12,,0,-,0,-
Bigeye tuna Global,United Kingdom,Longlines (nei),0,-,0,-,32,
Bigeye tuna Global,Australia,Gear not known,21,,0,-,0,-
Bigeye tuna Global,Australia,Longlines (nei),1077,,1054,,788,
Bigeye tuna Global,Cook Islands,Longlines (nei),238,,292,,217,
Bigeye tuna Global,Fiji,Longlines (nei),556,,671,,689,
Bigeye tuna Global,French Polynesia,Longlines (nei),839,,857,,1071,
Bigeye tuna Global,Kiribati,Longlines (nei),0,-,44,,0,-
Bigeye tuna Global,Kiribati,Mechanized lines and pole-and-lines,0,-,0,-,8,
Bigeye tuna Global,Marshall Islands,Longlines (nei),3,,375,,381,
Bigeye tuna Global,"Micronesia, Fed.States of",Longlines (nei),1395,,970,,1395,
Bigeye tuna Global,New Caledonia,Longlines (nei),53,,63,,51,
Bigeye tuna Global,New Zealand,Gear not known,0,-,1,,0,-
Bigeye tuna Global,New Zealand,Longlines (nei),213,,133,,253,
Bigeye tuna Global,Niue,Longlines (nei),18,,1,,10,
Bigeye tuna Global,Papua New Guinea,Longlines (nei),111,,201,,128,
Bigeye tuna Global,Samoa,Longlines (nei),101,,106,,117,
Bigeye tuna Global,Solomon Islands,Mechanized lines and pole-and-lines,37,,0,-,0,-
Bigeye tuna Global,Tokelau,Trolling lines,0,-,0,-,1,
Bigeye tuna Global,Tonga,Longlines (nei),129,,81,,38,
Bigeye tuna Global,Vanuatu,Longlines (nei),3327,,1698,,2548,
Pacific bluefin tuna Global,Mexico,Mechanized lines and pole-and-lines,0,-,15,,0,-
Pacific bluefin tuna Global,Mexico,Purse seines,8293,,8784,,6038,
Pacific bluefin tuna Global,United States of America,Gear not known,31,,197,,361,
Pacific bluefin tuna Global,United States of America,Purse seines,42,,0,-,410,
Pacific bluefin tuna Global,Japan,Gear not known,2712,,3550,,3149,
Pacific bluefin tuna Global,Japan,Longlines (nei),2095,,1495,,1312,
Pacific bluefin tuna Global,Japan,Mechanized lines and pole-and-lines,236,,64,,50,
Pacific bluefin tuna Global,Japan,Purse seines,5378,,9550,,8186,
